record_id,source_row,Topic_group,split
4db1ec2148bb9f296aadfbd5654250c99a7ab7d89514e89c78a3903105e68c0e,2,Hardware,train
4f8038c7574b3e2813d8bba09268db44c6ddc6a68caa32a0e856a7bf5d04f959,3,Access,train
25ecf29f6cd14d5f0e330109495ebfe99c33a696d3f2d2a3d8b06a3d32242dd1,4,Hardware,train
dfad00263fe9bb06f3c8a725bd08e9beeb52a74176aa09b9971d498e789cdba1,5,Access,train
918577d88824c96ab424d7fb3f9fec73ff85dbb8ba4368e8bf31466f43abf72a,6,Miscellaneous,train
eefd0765aaee83675a35235ea5a8a37c9c31309eddc2d720780d7e4957ccb5a1,7,Miscellaneous,train
a524581962a738e8e5bff48c700deceaab4fcec5cad94834dcd46877e75f8de6,8,Hardware,train
18a31ff11471fbc8e9468c09890f48ee46ecae4532a4a3a5428ad3f42afdbee7,9,HR Support,train
2bac5c79231a101b142af808a0f49f5e1bd232ca1d5d6cf0df84a9b49059314c,10,Access,train
ef8d79fe83632f2438b728597ea853841b2f56881bdc1072f19ecc47afeef30f,11,HR Support,train
efad26b9f3f00cfaab9311412f53669400f83c7d973bf38a59d846aa4478f591,12,Hardware,validation
6b5bf9598c0b3a8a75b0e33a1e6924bc3af5a27bea5009bf5465d86e506c3b0a,13,Miscellaneous,train
8860e5fcf55bd85ef119941fb7f01fbee58a6d96fcfc27af10c1407589f95362,14,HR Support,validation
f4a838013139e5d7f5e68591e1cdfe85bd8246e1472da73a5a05848c50df3769,15,Access,train
55d1129ab222e90fe9ca9c4896fdef4f16151fb73c17dc046ca9dc1e47766d89,16,Purchase,train
33cb7ffd6a2076a7e257cac5d5d9806a6f5608a934413cd120f255cdc47c4404,17,Access,validation
84f48dc493dfdfd48b7f577b3af344449882caac6b3b11107abef5af41d350b2,18,Purchase,train
13f2ac0b28e96873ac16cda5c812c4db44c1ae9748af0e5360f9a69832274272,19,Purchase,train
64311e8d0936a1d47fb83843c72e33b8a7f0830f3b477a97c690f9efb08be16f,20,Hardware,validation
304d174b262eebbc17fdebbba4e185758701f614488219e3272b041a427cc7dd,21,Miscellaneous,train
6ef10a73f3c896c671ae9e59844a709d02444614156dff4ab850e22e4345b0f5,22,Administrative rights,train
70e17f045dc23eb8461e33213998d6b29d22f30fd330eda4997d5244dbe531c9,23,HR Support,train
807f19430aa6d43ca1aadac6a829ec69411aabb107c7f22d664cfdcdd2de028a,24,HR Support,validation
12a7c4e30ec94c8780104467ebc90080fde78bf77ff6c85c1c26803d648dd011,25,Access,train
6f9121087f5841c0b0abe63b4ca16141fda7a16818f279c7e9624ee45097b9aa,26,Purchase,train
0a8cbf0218feecef39bceb65aac375856e15edf1fdac14b13fa05c528783972d,27,Purchase,train
d4cc49826820b5ffb9e6dbdf073701c2f18204bae40b7eab1ed8391d51896f0e,28,Access,train
d3103ea02a0d15060edf43f4f9870f40b526aa428cc2e4c4a466483926c387c1,29,HR Support,train
e7af6e5d41730115df9079a4c4807821c127dd6df345bb89d96de7c16dea13fd,30,Miscellaneous,train
bbe69a54aaa1cbbc01b00eb6cd5cac7cd09c95b55fba78dca44d994ae55fe7c7,31,Hardware,validation
de42b168047c7f2077a937299246e4c591ec74e59918c46cde497dc53b70b0f1,32,Hardware,train
6f3ee89dfc86c13ede9b93b528e7645d09dbc4110a4cff741349d058ab76ea75,33,Hardware,train
675941852cc5e27a5e8a70dbb31f33941661e3edc5566ab4d2c7f11249fe88e7,34,Purchase,train
677cecf322b73bd60591f468ff305fd9f01bda0b449a680c98ce1161277175c8,35,Access,train
48900b3299810df9896df931763f5a4df279c173258e366a02e20408bfd9b6c8,36,Hardware,train
8310b1dd05141e3df6878b4f432900dc7a648f8f796b91663ada72942edc82f8,37,Storage,train
be87f578bca5e3f3f47ce988e120d241fa1120d0abf80a45aa3f3286253c15d0,38,Purchase,train
2c86694eea0cccc66042d8a943d7bc23576f08b873a3b14a33186d510ce6ee3a,39,Internal Project,validation
607c6562a182f02eabd5eba217c2da960421fbcf39d7dada7bb33bb6f5d1e12c,40,Storage,validation
c0a62ffa36c746304313c139ccadd993f365db52d9b45546a45b19db6f23c1fc,41,HR Support,validation
4cb20d9c518c487a74d88682a8e977a828dd288f38c723c3bb1a770f03f52a49,42,HR Support,train
8859cc23ce3091bdbdd5879f9b823625a3d74888b065abb140fe4b4b30385b13,43,Purchase,train
d9ae041014433b258180ea020e0e0fa3ea34c42819d93963dd92aec6217a895e,44,Hardware,train
7aed6b581ba74dff10d89e78fe074e2b50ba0bd3fa95a069e597015c5b311a06,45,HR Support,train
5396b76111f975eedc450a97295850db841e48847fbf637af9a602fb52bc7320,46,Miscellaneous,train
7c996e94d8f4fcf9d51fd9a5264e1921dabb7757efd614ce07c788af4476b455,47,Storage,validation
dcc86f7b43977208b2aa86ece9f4545c9faf9756c9984c43af39b94559750fcf,48,Miscellaneous,train
2fba4767d1c3b6d7fd4c5abf967c154daa673c4e00920298f63894f433afc895,49,Access,train
133c46cc188ae9612b58020882de0313d0fbe5ebb68ae45ad56e4b0474ea355e,50,Miscellaneous,train
d421c7aaeb982ad1b008fc91fa576af54f2fd327bc5032a5dac4bf7fdf2da8a2,51,Access,train
ba3583f7a02ab88cd83b1ae460694e250ef1a0649f771ea12ae0e7fdb6355743,52,Purchase,train
1f3102347d94a26126e6507e64cb9924f2600dd41af78bfcbe6bf4bc0d2820e2,53,HR Support,train
136eae53a55f6b12502b29cd8e763da8285ea0b2b52344a5bd0b6b2aa8273b9b,54,Storage,train
230d8681f2feb8edb4a6b38f9180e644242bf0863b5381a07b81c6ee4162b66f,55,Purchase,train
2d777055fd39149efb89b5c4f12a958f3688249e4b3dad58eced7a47c4751480,56,Purchase,train
e4f1ccd5fab74457bc734594a7e225ad6b66ba0c3cba1604f5ed656c7f3dfdac,57,Miscellaneous,train
446e37dbf11e090f9350519c3c3b4cbe24e82838dd462f6a1049ab9e80f45924,58,HR Support,train
5c473dd8ad6df40d593e0985ca9fcb3ae66b4ee4f4d68f8662123c37dc450709,59,Access,train
b4bb97402a1d7599a594d71b14d6a281cd01e1915b2abf1b64ff1810d53f941e,60,Access,train
b92e05ea3fec57c7d7ec3ef0e2c3d5404ef48bc082affe0271276f6e2b7464b8,61,Purchase,train
bbc7398548fa2a99bef6b1bae5a5345951a3a6ad12656792d88cda4ad7249bc9,62,HR Support,train
b4385bd9e3e77d17809710dd0e1ada1935291ae6c7def1974c38873dff19c382,63,Hardware,train
856acb9410a112cfb6a0abecf7ed91ebad9c6e7a1bb66e0359dfc63ae29c9507,64,HR Support,train
333e6b7b7f7b32669d4d50248f0484db6a451f5f6a0346b4d33d409a452ae496,65,Storage,validation
d96a74cad0b2a6c6c0be840e239b14f466d85c9cc32522c42cadf46fb3fa3013,66,Miscellaneous,train
57562f50037f7eb104eae194cbc46ed2c7bb9aaa6dfa9ce296cd16e003fe99bd,67,Purchase,train
1571a6b8b8a86e26491b3455f23edf4b6553673281c805ba7559bc96f3ba0db0,68,Access,train
eef7cd814aabf86618d632ae025c1dec7e7967068b19784bd8b571bf7563d520,69,Storage,train
9c2ad34e599e9b50556bacfe843625f958255b11c0a2acb86e56a908486759a9,70,Access,validation
bd23c484d3fd27cd10cddd08e5603d3bf1d82e3d68636b77dfee18e3ce0eb7c4,71,Hardware,train
ccac8154fd0725a35f435dc8c55b7298adf169c805538ddd0f47beb4f4531c5d,72,Miscellaneous,validation
43282570ad0a13be5436119c6ba82b7a0c42a97d9211eafc206cf9660f997c82,73,Access,train
946a0bb04606dfcaee5baee6636e059ee7af83679bc3c2bc5033ddab5e5db5a5,74,Miscellaneous,train
37218b27aa23d508fdec7bea5daee940161409d1cdb7a0743f0fa25a1484ac6a,75,Miscellaneous,validation
519372c668c894f3f1fde27d0b549d1f616441b8756043eb4b9c68aecd50c978,76,Access,train
fdfc93322803ff0504fdc0b6d587a397b4f0b7ee384a07af8f8aaabc19ac672c,77,Administrative rights,train
791a9bbed593fa5e9cddc3aedfba131f00b7a2c853235b933e3d7126705d7c57,78,Access,train
9048778886b8bf12e6d842ee772e932249ff68dd4f42ac1704015e40673829b7,79,HR Support,train
778cc7580d0ba95d01237c6b6388661df9ed760439d34bc055b4c8bafdc04926,80,Hardware,train
90299c5eb9edc2a39df5904a519405d3fb6136e650ff528077022e97cf0048f0,81,Hardware,train
c7afa7085842447366e6494d8c9b70955f3bb10106452cc312afd880d36c947d,82,Internal Project,train
fb2cd0f2f3e52cd1d76a0c42d2b47132dc558d1b347750aba3d3dc274f490a8c,83,Storage,train
1419d72592aab9ec31657810fb38b7cbd6d589bf7a38851fba0e240b2f256ce7,84,Access,validation
7979e1ffe8f7ae24577530a1d598fcaff30f961f201b0320455f1903d55f7920,85,Administrative rights,train
bfe6ee03b14ea1e4ad399236e799f99cf74a3a9dd389c3ef34da90ca0cf13156,86,HR Support,train
aca58c9a1b15e6b87f0ab5f6c26d9d062d44af923cd8e729542859a919869a14,87,Storage,validation
865ce2c1c142d28ed961cec6657adeb9a4ab8d12576dc43e0141b7f02c9b31d1,88,HR Support,train
f2fc81b9edbfba61656b01d8bbfc10e13be93dcb865b2477b1b699aa76eeda2e,89,Access,train
eff72b0f836040f61cee3cc1d70a0d4405f728fadfa3311c7e968e9d58731513,90,Purchase,train
9479560be5fa6d57b90e4b92b62b8a0311d196e70f42c1470b45d0f4ca4dd002,91,HR Support,train
9b61ff766992ecd0113340949e89bd1d7cc7c11068ebb94c186d023526ff3a60,92,Access,train
2c2db18d6291a22b80b072a0dfe4cc4ce99f2ebddfaf6e2d9aa212d410b3fd5d,93,HR Support,train
61e61c908d902d4f0385e132556f5811e53dcc1a6495d5a66bba63f1003f143d,94,Access,validation
c959d65dac302afe4d291c429aa182341890b55f6e3cef45d27bd8fc5853a72e,95,Hardware,validation
