record_id,source_row,Document,Topic_group
4db1ec2148bb9f296aadfbd5654250c99a7ab7d89514e89c78a3903105e68c0e,2,connection with icon icon dear please setup icon per icon engineers please let other details needed thanks lead,Hardware
4f8038c7574b3e2813d8bba09268db44c6ddc6a68caa32a0e856a7bf5d04f959,3,work experience user work experience user hi work experience student coming next his name much appreciate him duration thank,Access
25ecf29f6cd14d5f0e330109495ebfe99c33a696d3f2d2a3d8b06a3d32242dd1,4,requesting for meeting requesting meeting hi please help follow equipments cable pc cord plug,Hardware
dfad00263fe9bb06f3c8a725bd08e9beeb52a74176aa09b9971d498e789cdba1,5,reset passwords for external accounts re expire days hi ask help update passwords colleagues thank pm expire days importance high hi received about expiration please kindly help prolongation best regards pm expire days importance high dear expire days order change please follow steps prerequisites disable device credentials close active connected by cable machine note also follow steps detailed press ctrl alt delete same pops change item enter format enter enter newly chosen then re enter again submit displaying has changed os machine browse enter format enter gear icon top tight browser window enter enter newly chosen then re enter again save connected note complete resources granted once connected by cable browse tick want change after logging enter format enter log enter enter newly chosen then re enter again change clients suppliers about expire please touch person then communicate back encounter issues hesitate by accessing yours,Access
918577d88824c96ab424d7fb3f9fec73ff85dbb8ba4368e8bf31466f43abf72a,6,mail verification warning hi has got attached please addresses best regards monitoring analyst verification warning,Miscellaneous
eefd0765aaee83675a35235ea5a8a37c9c31309eddc2d720780d7e4957ccb5a1,7,mail please dear looks blacklisted receiving mails anymore sample attached thanks kind regards senior engineer,Miscellaneous
a524581962a738e8e5bff48c700deceaab4fcec5cad94834dcd46877e75f8de6,8,prod servers tunneling prod tunneling va la tunneling la host si la si host host cards port name bytes bytes seq bytes seq statistics packets transmitted received packet loss avg bytes bytes seq bytes seq tuesday pm acre re tunneling si pm acre re tunneling extended object host extended host extended object host range extended host range administrator re sector pm acre re tunneling va la si la tunneling design lead ext friday pm re tunneling va extended object host extended host administrator re sector pm tunneling va la tunneling users pinging bytes bytes bytes bytes bytes design lead ext con care pot partial strict si pot ale care va la contains proprietary information which legally privileged unauthorized dissemination prohibited intended recipient views addressing transmission error has misdirected please notify author by replying intended recipient must disclose distribute copy print rely,Hardware
18a31ff11471fbc8e9468c09890f48ee46ecae4532a4a3a5428ad3f42afdbee7,9,access request dear modules report report cost thank much regards,HR Support
2bac5c79231a101b142af808a0f49f5e1bd232ca1d5d6cf0df84a9b49059314c,10,reset passwords for our client and passwords client dear please passwords thank,Access
ef8d79fe83632f2438b728597ea853841b2f56881bdc1072f19ecc47afeef30f,11,direct reports missing time please action reports dear way help close these maternity leave complete submit her left he technically left he client work after rd submit after delete period days two public holidays possible add thanks please action reports dear part established processes each required submit his weekly basis each friday past must submitted receiving because reports haven followed process please help cascade accordingly gets possible breakdown reports please note refers has left maternity other absence leave please update person record otherwise please person directly submit country date total days,HR Support
6b5bf9598c0b3a8a75b0e33a1e6924bc3af5a27bea5009bf5465d86e506c3b0a,13,device recovery report printer alert duplex unit is not set device recovery report printer duplex unit printer details detected tray tray copier details detected tray scanner ready details model name device name comment host name printer name print name file name printer name zone name name computer name share name device printer printer notified,Miscellaneous
f4a838013139e5d7f5e68591e1cdfe85bd8246e1472da73a5a05848c50df3769,15,visual studio license visual studio license hello developer visual studio license thank best regards developer,Access
55d1129ab222e90fe9ca9c4896fdef4f16151fb73c17dc046ca9dc1e47766d89,16,system hello movement has left available device please kind device denmark copenhagen denmark please source quotation shipping by lead,Purchase
84f48dc493dfdfd48b7f577b3af344449882caac6b3b11107abef5af41d350b2,18,list sent copy copy hi receive copy behavior expect receive myself thanks front developer,Purchase
13f2ac0b28e96873ac16cda5c812c4db44c1ae9748af0e5360f9a69832274272,19,new purchase po purchase po dear purchased received items lite updated include device under user name link please add allocation device thanks please log retrieve old device after receive item please take consideration mandatory receipts section order receive item ordered how video link please make return old device back accessories left receive receive old device take off user name kind regards administrator,Purchase
304d174b262eebbc17fdebbba4e185758701f614488219e3272b041a427cc7dd,21,change sales owner for contract change owner contract hello please log thanks best regards senior engineer pm contract id pm pm la ca la si si please pm pm merci pm owner pm yep pm,Miscellaneous
6ef10a73f3c896c671ae9e59844a709d02444614156dff4ab850e22e4345b0f5,22,notification wireless devices upgrade cr medium wireless devices upgrade cr medium hi please announce users about window wireless best regards senior engineer cr medium has by hello summary software upgrade release has approved by please wait until completed starting kind regards ref msg,Administrative rights
70e17f045dc23eb8461e33213998d6b29d22f30fd330eda4997d5244dbe531c9,23,direct reports list to be amended oracle reports amended hello please call best regards reports amended hi guys please help match correctly too reports find please attached please move he right attached these move thank,HR Support
12a7c4e30ec94c8780104467ebc90080fde78bf77ff6c85c1c26803d648dd011,25,badge access to be removed badge removed dear please badge since he working anymore best regards,Access
6f9121087f5841c0b0abe63b4ca16141fda7a16818f279c7e9624ee45097b9aa,26,system re hello please make injector device device pm hello movement has left available device please kind device denmark copenhagen denmark please source quotation shipping by lead,Purchase
0a8cbf0218feecef39bceb65aac375856e15edf1fdac14b13fa05c528783972d,27,new purchase po purchase po dear purchased has please log allocation after item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed thank kind regards administrator,Purchase
d4cc49826820b5ffb9e6dbdf073701c2f18204bae40b7eab1ed8391d51896f0e,28,check user accessibility user accessibility hello please log assign best regards senior engineer pm pm pm please pm pm super,Access
d3103ea02a0d15060edf43f4f9870f40b526aa428cc2e4c4a466483926c387c1,29,annual leave re annual leave hello please help absence record today hello please thanks great best regards analyst pm annual leave hi please help registering off annual leave today take due urgent personal matters allow ongoing absence records please advise,HR Support
e7af6e5d41730115df9079a4c4807821c127dd6df345bb89d96de7c16dea13fd,30,change project manager role oracle change role hello dear please change pm role starting kind regards discipline lead,Miscellaneous
de42b168047c7f2077a937299246e4c591ec74e59918c46cde497dc53b70b0f1,32,port opening port opening hello port machine packages provided subcontractors also also please add tunneling azure machines thanks design lead ext,Hardware
6f3ee89dfc86c13ede9b93b528e7645d09dbc4110a4cff741349d058ab76ea75,33,network access hello received workstation granted ad please help thanks,Hardware
675941852cc5e27a5e8a70dbb31f33941661e3edc5566ab4d2c7f11249fe88e7,34,new purchase po purchase po dear purchased please log allocation after item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed thank kind regards administrator,Purchase
677cecf322b73bd60591f468ff305fd9f01bda0b449a680c98ce1161277175c8,35,access card re card va se,Access
48900b3299810df9896df931763f5a4df279c173258e366a02e20408bfd9b6c8,36,undelivered mail returned to sender undelivered returned hi getting these undelivered messages instead actual complete messages issue side client regards pm undelivered returned host sorry inform more attached further assistance please please include problem report delete own text attached returned host cluster said sorry has blacklisted refer troubleshooting more information rcpt command,Hardware
8310b1dd05141e3df6878b4f432900dc7a648f8f796b91663ada72942edc82f8,37,mailbox almost full mailbox almost hi mailbox almost kind thanks regards senior infrastructure engineer infrastructure upcoming holiday none id,Storage
be87f578bca5e3f3f47ce988e120d241fa1120d0abf80a45aa3f3286253c15d0,38,new purchase po purchase po dear purchased has please log allocation please log retrieve old device after receive item please take consideration mandatory receipts section order make receipt item ordered how video link kind regards administrator,Purchase
4cb20d9c518c487a74d88682a8e977a828dd288f38c723c3bb1a770f03f52a49,42,submit your time cards for approval notification please action submit cards hi queried these alerts told ignore transition resolved by arriving believe these date formally moved refer timecards over old continue ignore these alerts switched off somehow think queried nearly four months ago alerts come every cheers editorial consultant please action submit cards dear receiving because cards haven submitted please note enough enter also make submit take corrective actions submitted card gets rejected breakdown submitted cards please submit accordingly possible country submitted cards card status entered entered entered entered total submitted cards submitted cards statuses explained error usually happens log calendar view period than days then delete which causes timecard switch error fix add back deleted delete entire timecard right hand side menu recreate again rejected card rejected by approvers please card entries accordingly resubmit entered status timecard few days entire timecard entered saved cards status has passed entered validation gone next submission step card issues resolve please wait corresponding resolutions,HR Support
8859cc23ce3091bdbdd5879f9b823625a3d74888b065abb140fe4b4b30385b13,43,new purchase po purchase po dear purchased matte display please log allocation after receive item please take consideration mandatory receipts section order make receipt item ordered how video link kind regards administrator,Purchase
d9ae041014433b258180ea020e0e0fa3ea34c42819d93963dd92aec6217a895e,44,need new hi guys please details hosted building hyper infrastructure location mandatory since client accept his other than machine operating newer purposes cpu disk worry about partitioning handle needs accessible networks also needs ports user root rights client machine operating newer purposes cpu disk needs accessible networks especially user rights client thank engineer,Hardware
7aed6b581ba74dff10d89e78fe074e2b50ba0bd3fa95a069e597015c5b311a06,45,new starter account republic of macedonia kale building starter form induction hi please assist completion attached return form empty part thank officer,HR Support
5396b76111f975eedc450a97295850db841e48847fbf637af9a602fb52bc7320,46,clone self service dashboard clone self dashboard hello writing ask help cloning self widget report snow profile onto profile reason requesting uses these reports monitor tickets logged self best interest report available within consider needs also added each member profile sd specialists please liaise please note by snow kind regards engineer mobile,Miscellaneous
dcc86f7b43977208b2aa86ece9f4545c9faf9756c9984c43af39b94559750fcf,48,we need new groups for our testing crazy groups testing add users needed owner these groups users members port test sitting dancing hammer muffin crazy thank,Miscellaneous
2fba4767d1c3b6d7fd4c5abf967c154daa673c4e00920298f63894f433afc895,49,milestone licensing service re milestone licensing agreed well then please assist please log queue thank re milestone licensing hi seems sensible idea generally problem restricted given addresses say vendor sites licensing makes device updates easier cheers milestone licensing hi milestone needs license revalidated camera modified far exported license file supplier then validates sends file back import objects communicate presuming validation runs same documentation specify,Access
133c46cc188ae9612b58020882de0313d0fbe5ebb68ae45ad56e4b0474ea355e,50,remove from re hi part sector owners right how name added part sector please owners thank kind regards,Miscellaneous
d421c7aaeb982ad1b008fc91fa576af54f2fd327bc5032a5dac4bf7fdf2da8a2,51,assign new access card re lost card hello va ii alt card se la,Access
ba3583f7a02ab88cd83b1ae460694e250ef1a0649f771ea12ae0e7fdb6355743,52,new purchase po purchase po dear purchased received items date february mobile subscription updated include device under user name link please add allocation device thanks kind regards administrator,Purchase
1f3102347d94a26126e6507e64cb9924f2600dd41af78bfcbe6bf4bc0d2820e2,53,leaver service now leaver form leave date location hello leaver form has filled by name leaving date location ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments needed tickets automatically logged best regards note mailbox receive messages,HR Support
136eae53a55f6b12502b29cd8e763da8285ea0b2b52344a5bd0b6b2aa8273b9b,54,monitoring shared mailbox monitoring shared mailbox hello please creation shared mailbox named monitoring members let further details required lead,Storage
230d8681f2feb8edb4a6b38f9180e644242bf0863b5381a07b81c6ee4162b66f,55,new purchase po purchase po dear purchased monitor please log allocation after item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed thank kind regards administrator,Purchase
2d777055fd39149efb89b5c4f12a958f3688249e4b3dad58eced7a47c4751480,56,new delivery hello received po please advise log kind regards engineer ext,Purchase
e4f1ccd5fab74457bc734594a7e225ad6b66ba0c3cba1604f5ed656c7f3dfdac,57,add to network hello please add thank,Miscellaneous
446e37dbf11e090f9350519c3c3b4cbe24e82838dd462f6a1049ab9e80f45924,58,job title job title hi note title treasury while please ask thanks mobility officer,HR Support
5c473dd8ad6df40d593e0985ca9fcb3ae66b4ee4f4d68f8662123c37dc450709,59,password reset hi cannot please best regards specialist retention rotterdam tuesday thursday friday hi changed work please best regards specialist retention rotterdam tuesday thursday friday information contained communication confidential legally privileged intended solely individual entity whom addressed others authorized receive intended recipient hereby notified disclosure copying taking action relation contents information strictly prohibited unlawful neither nor represented liable complete transmission contents timely receipt institutional registered under,Access
b4bb97402a1d7599a594d71b14d6a281cd01e1915b2abf1b64ff1810d53f941e,60,bit bucket account bit bucket hello bit bucket thank,Access
b92e05ea3fec57c7d7ec3ef0e2c3d5404ef48bc082affe0271276f6e2b7464b8,61,new delivery hello received today po black cooler notebook please advise please log receiving goods thanks technician,Purchase
bbc7398548fa2a99bef6b1bae5a5345951a3a6ad12656792d88cda4ad7249bc9,62,access to dear please permission link bit bucket accumulations browse thanks tester,HR Support
b4385bd9e3e77d17809710dd0e1ada1935291ae6c7def1974c38873dff19c382,63,cc and expenditure types guide expenditure types guide hi please find attached latest expenditure types guide please kindly share other colleagues whom hand type please touch teams thank best regards,Hardware
856acb9410a112cfb6a0abecf7ed91ebad9c6e7a1bb66e0359dfc63ae29c9507,64,reset time card card hi guys please card period thank application engineer,HR Support
d96a74cad0b2a6c6c0be840e239b14f466d85c9cc32522c42cadf46fb3fa3013,66,access for review contract setup re review contract setup hi please assign thank engineer review contract setup dear kindly ask give report review contract setup add report column which shows creator created by each contract background contracts setup prod needs overview contracts created prod persons created these contracts prod billing important has setup contracts going friday tried extract information name person has created contract find updated by column persons information kindly well about other members report picture think helpful call matter thank help great analyst,Miscellaneous
57562f50037f7eb104eae194cbc46ed2c7bb9aaa6dfa9ce296cd16e003fe99bd,67,new purchase po purchase po dear purchased requested by type cable micro mini adaptor mini female adaptor male female please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards administrator,Purchase
1571a6b8b8a86e26491b3455f23edf4b6553673281c805ba7559bc96f3ba0db0,68,report for report hi please inform mentioned user forbidden well cracks please cracked best regards monitoring analyst,Access
eef7cd814aabf86618d632ae025c1dec7e7967068b19784bd8b571bf7563d520,69,access to folders folders dear please joiner today given same folders important treasury thanks head tax treasury pm re folders fine wrote hi please given same folders thanks head tax treasury,Storage
bd23c484d3fd27cd10cddd08e5603d3bf1d82e3d68636b77dfee18e3ce0eb7c4,71,monitor add install new monitor monitor hello dear had monitor discussed he told leave tower give thank,Hardware
43282570ad0a13be5436119c6ba82b7a0c42a97d9211eafc206cf9660f997c82,73,revise access to location revise location hello please revise location users left please find attached also clear additional users contributors role collection attached additional contributors picture view please regards senior engineer registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has,Access
946a0bb04606dfcaee5baee6636e059ee7af83679bc3c2bc5033ddab5e5db5a5,74,set up com com as exception for all complaint regarding resolution hello please approved by moderator please close complaint off thanks re complaint regarding resolution please proceed regards complaint regarding resolution hi help surveys lists surveys evaluating moves annual satisfaction ones thanks clarifying helping progress friday pm complaint regarding resolution hi writing regards complaint excerpt tuesday pm feedback how move hello please informed checked has moderator means each has approved by moderator he has out automatic informs delay flow process please let further information assistance needed kind regards analyst allow offer bit context while back were entire lists which caused corrective action limitations were members groups allowed lists were expand said directly personal instead corrective action moderators were lists under moderated means expanded once wait moderator approve users groups added exceptions said lists permissions thus bypass moderator altogether solution recommend ask make every location order surveys out immediately reaching wait moderator approve course subject thank,Miscellaneous
519372c668c894f3f1fde27d0b549d1f616441b8756043eb4b9c68aecd50c978,76,transfer license from one user to another transfer license user hello left going please transfer his license replaced role best regards senior engineer,Access
fdfc93322803ff0504fdc0b6d587a397b4f0b7ee384a07af8f8aaabc19ac672c,77,all staff outlook hello please make cancel moved offices starting today relocated attached part thanks lovely,Administrative rights
791a9bbed593fa5e9cddc3aedfba131f00b7a2c853235b933e3d7126705d7c57,78,vs professional subscription support vs professional subscription hello work tech stack assistance vs professional subscription objective activate azure benefit hands azure event representatives st without azure unable perform azure work during event issue sequence steps visual studio license status manage visual studio profile benefits azure error appears benefit azure subscription each subscription entitled corresponding free azure subscription subscription personal created user defined personal cannot azure instead azure work same please advise thank,Access
9048778886b8bf12e6d842ee772e932249ff68dd4f42ac1704015e40673829b7,79,transfer request access to win cl tuesday pm re transfer form hello please find attached transfer form please note update document required cost centre id section wrong indirect cost centre decision link working hardware pc telephony section link catalogue working text please puma additional items required updated provided possible job started remain available other details needed kind regards officer wednesday re transfer form si la tuesday transfer form hi please fill enclosed form transfer thanks administration officer,HR Support
