class,rank,feature,coefficient
Access,1,confluence,13.31656879467412
Access,2,card,10.889299025991223
Access,3,password,10.538690825065888
Access,4,user,10.215794527471285
Access,5,license,9.734979493797189
Access,6,account,9.075803273865535
Access,7,git,8.317026736822315
Access,8,repository,7.653326863745545
Access,9,accounts,6.683823290751599
Access,10,cards,5.933575511686792
Access,11,create,5.79212989862839
Access,12,locked,5.735009603627338
Access,13,users,5.562538182764786
Access,14,licenses,4.751323159295049
Access,15,reset,4.725145893259095
Access,16,badge,4.065616504949715
Access,17,licence,3.8054417953563213
Access,18,lost,3.7567750637767996
Access,19,expire,3.7273721813695118
Access,20,repositories,3.5966042019784616
Access,21,visitor,3.2445186326995894
Access,22,passwords,3.1215352616470855
Access,23,visual,3.0081367670711363
Access,24,expired,2.934073410315872
Access,25,studio,2.92594137848568
Access,26,subscription,2.867564458007151
Access,27,ad,2.8541410496482027
Access,28,synchronization,2.8205181311473795
Access,29,sync,2.8022763674274227
Access,30,blocked,2.595084891149232
Administrative rights,1,outlook,13.702686017786961
Administrative rights,2,upgrade,10.43122408143051
Administrative rights,3,issues,6.120527777666048
Administrative rights,4,install,5.022888445226915
Administrative rights,5,software,4.339704241103545
Administrative rights,6,windows,4.199142114600282
Administrative rights,7,exchange,3.5039331668032183
Administrative rights,8,version,3.307734596704741
Administrative rights,9,update,3.3012058028248794
Administrative rights,10,assets,3.21872105634158
Administrative rights,11,problems,2.7622276086657664
Administrative rights,12,server,2.600027336830884
Administrative rights,13,calendar,2.5898169532753057
Administrative rights,14,again,2.4854555995338736
Administrative rights,15,credentials,2.3974881029003874
Administrative rights,16,not,2.353489564022701
Administrative rights,17,app,2.2802941713208726
Administrative rights,18,send,2.2647130044546886
Administrative rights,19,up,2.2446308038146814
Administrative rights,20,os,2.1388611547393497
Administrative rights,21,profile,2.1266521528943807
Administrative rights,22,with,2.039478195621085
Administrative rights,23,connect,2.0029544924479996
Administrative rights,24,any,1.8361506909028762
Administrative rights,25,experiencing,1.8235999730501067
Administrative rights,26,keeps,1.817365965444738
Administrative rights,27,reinstall,1.8159711207934035
Administrative rights,28,asking,1.8102028523560327
Administrative rights,29,responding,1.7773975454294542
Administrative rights,30,problem,1.769852437623066
HR Support,1,starter,8.671668537414845
HR Support,2,time,7.978537304089291
HR Support,3,error,7.69995422888787
HR Support,4,leave,7.536238602467466
HR Support,5,oracle,6.957075846165497
HR Support,6,access,6.186102490403008
HR Support,7,submit,5.393820654818582
