actual_class,predicted_class,count,mean_confidence,max_confidence
HR Support,Hardware,157,0.4490492557836322,0.9193190696660808
Hardware,Miscellaneous,136,0.4889460373935383,0.9182720677536236
Hardware,HR Support,117,0.525120205515385,0.999420858566776
Hardware,Administrative rights,111,0.5497302336410448,0.9462298180849118
HR Support,Miscellaneous,102,0.5455777044319549,0.9756272194898816
Miscellaneous,Hardware,72,0.4457317346021175,0.901271130094231
Access,Hardware,68,0.48017504767948854,0.944896245612266
Hardware,Access,66,0.5519117979256644,0.9845387898709086
Access,Miscellaneous,48,0.5383194347714707,0.9668703070598555
Miscellaneous,HR Support,42,0.5210445047670912,0.8991344687170431
HR Support,Access,37,0.5507121303893,0.9106217127987916
Access,HR Support,36,0.5793016608692511,0.9447721433526898
HR Support,Internal Project,35,0.5372243293466321,0.9679629584065624
HR Support,Storage,30,0.5325008890387594,0.9901843745837734
Hardware,Storage,29,0.503199304698495,0.9174338156739684
Hardware,Purchase,27,0.6744099021961896,0.9870772466469836
Miscellaneous,Internal Project,22,0.6044440696597335,0.980922485645413
Administrative rights,Hardware,22,0.5497914183317448,0.8006409016284297
Purchase,Hardware,22,0.49302546473026987,0.9677823011554008
Hardware,Internal Project,19,0.5403871054111319,0.9839478401011172
Storage,Hardware,19,0.4694919913993287,0.810346879890204
Miscellaneous,Access,18,0.5695033606370472,0.9049884634121872
HR Support,Administrative rights,15,0.5233557799660081,0.8551402282841805
Purchase,Miscellaneous,12,0.5069886200345907,0.8788852904867823
Miscellaneous,Storage,12,0.4728796644226983,0.7031755017847257
Internal Project,HR Support,12,0.4329002553263485,0.8024559024791903
Access,Administrative rights,11,0.5501728215248544,0.8289188367282407
Storage,Miscellaneous,10,0.6338704982724939,0.903122179646913
Miscellaneous,Administrative rights,10,0.43645365637726286,0.6312619859748441
Purchase,HR Support,9,0.38943592161742385,0.5224761579754564
Internal Project,Miscellaneous,8,0.5990891895827452,0.928803193314438
Internal Project,Hardware,7,0.3631555917828076,0.5329513159633038
Administrative rights,Miscellaneous,7,0.339259379110162,0.4156151470050428
Storage,Administrative rights,6,0.567140871405177,0.7310043302646175
Access,Storage,6,0.4786001896708531,0.8153293506515874
Access,Purchase,6,0.36397691668805243,0.4623380999704866
Purchase,Administrative rights,5,0.6122659295826386,0.9976181236020156
Storage,HR Support,5,0.5211934871286352,0.781140508441432
Access,Internal Project,4,0.7001154186698703,0.9820801614375454
HR Support,Purchase,4,0.5531075450412812,0.7758583798172408
Administrative rights,Storage,3,0.63669049000975,0.7953395636103505
Storage,Access,3,0.5362258958415105,0.5772296531641881
Miscellaneous,Purchase,3,0.49667830315504435,0.6159002558772714
Administrative rights,HR Support,2,0.49909204808247465,0.5123601252443923
Administrative rights,Access,2,0.4440664205857797,0.5336017833833501
Administrative rights,Purchase,1,0.6906874476748325,0.6906874476748325
Storage,Purchase,1,0.6513465397968319,0.6513465397968319
Purchase,Internal Project,1,0.4336343374241651,0.4336343374241651
Purchase,Access,1,0.4239004775854797,0.4239004775854797
Administrative rights,Internal Project,1,0.2932991886496027,0.2932991886496027
Internal Project,Storage,1,0.2427408956141267,0.2427408956141267
