class,rank,feature,coefficient
Access,1,confluence,14.864383451748697
Access,2,password,11.845296835216516
Access,3,user,11.538517196963461
Access,4,card,11.36512001490275
Access,5,license,11.095760668919137
Access,6,account,10.566116420428864
Access,7,git,8.53088263967737
Access,8,repository,8.050736974527716
Access,9,accounts,7.245837913352706
Access,10,users,6.461719755343047
Access,11,create,6.440177855357056
Access,12,locked,5.702430640462253
Access,13,cards,5.387616138897516
Access,14,reset,5.2586040491636235
Access,15,licenses,4.669418738285928
Access,16,badge,4.4489178442967034
Access,17,access card,4.353193873086714
Access,18,lost,3.8495572802912985
Access,19,licence,3.714973771664974
Access,20,password reset,3.672395662456102
Access,21,ad,3.571080626233037
Access,22,repositories,3.3650271381759325
Access,23,expired,3.221189936532706
Access,24,visitor,3.2048727064081732
Access,25,expire,3.0979384031776274
Access,26,access cards,3.004326158619542
Access,27,passwords,2.921691470822328
Access,28,add user,2.8768855353100524
Access,29,visual,2.867968244037586
Access,30,studio,2.859749191259274
Administrative rights,1,outlook,14.890956586709873
Administrative rights,2,upgrade,12.124475787842542
Administrative rights,3,issues,6.520618328249541
Administrative rights,4,install,5.996869341657579
Administrative rights,5,windows,4.992900353880059
Administrative rights,6,software,4.157182887929109
Administrative rights,7,version,3.506392891484674
Administrative rights,8,update,3.4694072374188676
Administrative rights,9,problems,2.8500908017925637
Administrative rights,10,assets,2.738998262962143
Administrative rights,11,exchange,2.6870756009072836
Administrative rights,12,server,2.5050339395036985
Administrative rights,13,with,2.430650351318522
Administrative rights,14,calendar,2.405992517671466
Administrative rights,15,os,2.3816723447034533
Administrative rights,16,not,2.334448135872692
Administrative rights,17,credentials,2.2944688052632514
Administrative rights,18,up,2.204207679707032
Administrative rights,19,windows upgrade,2.1334692007518594
Administrative rights,20,profile,2.0549927831911985
Administrative rights,21,again,2.0397150425018236
Administrative rights,22,problem,2.0307234311722464
Administrative rights,23,app,2.0259919378435356
Administrative rights,24,win,1.9687995844439459
Administrative rights,25,connect,1.9653340704304838
Administrative rights,26,reinstall,1.852158209035856
Administrative rights,27,upgrading,1.8251222076343674
Administrative rights,28,send,1.815377119087682
Administrative rights,29,installed,1.7703048681031777
Administrative rights,30,keeps,1.7249930153683417
HR Support,1,error,8.970452804750987
HR Support,2,oracle,8.821243824831777
HR Support,3,leave,8.301478708490514
HR Support,4,starter,8.22116570993726
HR Support,5,time,7.505813555102064
HR Support,6,access,6.9536158517699835
HR Support,7,submit,6.322123625348432
HR Support,8,leaver,5.807257662688625
HR Support,9,timecard,5.217938754373194
HR Support,10,new starter,5.060008551321513
HR Support,11,annual,4.744219105159895
HR Support,12,access to,4.516166321889605
HR Support,13,annual leave,4.433495172825979
HR Support,14,form,4.253254848580328
