record_id,source_row,Document,actual_class,predicted_class,confidence
0dba3658a2a93d4e46171be7751b238a78bdf661e07e56bde01a79318b151f66,26289,access november error hello please thank regards,Hardware,HR Support,0.999625998830094
28a698fc46e4079bb0a72df6a0bdc548fe082537b1eac1e629a666b735783c7c,2091,install outlook on phone install phone hi please advise how install phone had change both calendar thanks head,Purchase,Administrative rights,0.9950161301923968
485968f05dbee663090c0f9e2900ccf6887a3563a7b87ac45f291dc450b1db39,30085,for user password wednesday user hi please log shared order share screen demo client possible created thank regards,Hardware,Access,0.9890332881335044
f7220df90b9687265d7c228dea2c00f5af3396ffa0bda03e4c173070565674f9,19540,cable installation wednesday march pm neptune meeting room cable hello please log neptune meeting room cable installed thank engineer,Purchase,Hardware,0.9842384617604498
83b762ee058c09ef979c6e054f439d1683c23ef1b33ea9ef183fd9b5b28df9b0,36148,access for messages access for cannot access fill leaver form could you please help her thanks,Hardware,HR Support,0.9831605988754326
8fe3eebef9ab6e7387320a5b133f9a37f00302e8800e76e51325d1a239c8955c,38984,what should do with old card which is pending for approval what should with old card pending for approval dear have old card submitted status pending for approval understand came because line manager however cannot approve manager or can you advise please what should with thank you sincerely manager,HR Support,Miscellaneous,0.9783887955752804
e82161e2ab84fc9981168b8694b5fe49eae4b8c698cc6107efbec4de36621ac1,41003,oracle access issue sent thursday access issue hello could you please help access applications getting error bellow after logging with thanks,Hardware,HR Support,0.9767268962797734
b6fa60975f9d36319284a3456af20186e85aaf6753f97dcc464093b6a69fd657,36332,oracle access access hi need access could you help please thanks manager,Hardware,HR Support,0.974924465737842
5bfb2428196bca45c87eed6875c25821519a8a74e97853c5c42009651ae755ad,34185,oracle unable to access unable access dear when trying access get following error have urgent requests approve regards,Hardware,HR Support,0.97362671378888
5643c206620f2dae67e5d6c6cd8ebbef8238e8290db4ffdc9c0f3231abc86ef0,18582,wants to access bucharest thursday march pm wants please write update document accept decline,HR Support,Storage,0.9732567139128468
6155a79439dd63dba334e47f598b17852df86a93d9b423e67f2bdbbdc06e6209,26623,add new team member to git wednesday november pm re add member latest he according please fix give rights over manage members by ourselves wednesday november add member hi add member mailing thank much kind regards senior developer mobile,Access,Miscellaneous,0.9713280916348694
b41e9e7ca85b396699d22da8cb36f9a58b0c64569aedcbc5011e9c9b5348d9e7,26681,po tuesday november pm po hello purchase monitor has please create monitor installed please kind perform attached screen guide thank administrator,Hardware,Purchase,0.9697391012290364
ca2e9c154d074b3aa7a98cabca75f031d50e8e2ef2da04959cdddc661551c5c4,41097,line manager not set for approve annual leave flow hi line manager for can be seen however getting her requests for annual leave if she checks approval line only listed included approval flow line manager can you please verify correct thank you,HR Support,Miscellaneous,0.9684676039674528
16fec3d1163a51d6428baa2c9bbda9b9f665402c39aa72d7cafab21621b4489f,47105,access card issues sent monday october access for inca si la forms ribbon intra document la documents forms sites documents view ribbon access ii la si va sa ii fie lite laptop ne va manager,Access,Hardware,0.968212872047858
d4556290c27fd0da22e608373318290dd63f860f9ff9e6936bef2c2644cfded8,25987,training codes friday november training codes hi please best regards analyst friday november training codes hello please help code attending training extern training wonderful specialist,Hardware,Internal Project,0.9679023284750872
0bb2246d391724633103210d1a4815ba2e5ae66033ca4ab2611e64a60ca5567b,5833,new project setup re setup addition please also setup git steps name required thank friday october setup hi want setup client geographic kids code category commercial methodology agile owners lead users done great additional thank,Access,Internal Project,0.9664059141236434
6bfbbb9166078b4b18c09b7b018a53a4ebb3b05c55e39550b9d01ec3f0edb6a5,16538,enable ad access to network friday pm re purchase po hello device has according setup guide which also placed table checked turns equipment unable offer kind regards engineer got feedback friday pm re purchase po please provide more details device functional did anyone test device connected tv screen moment device sits table meeting room re purchase po hello device has physically installed meeting room please log appropriate device ad kind regards engineer got feedback thursday pm re purchase po hi discussion device installed thanks re purchase po hello awaiting replay same question kind regards engineer got feedback thursday pm re purchase po hi please liaise best phone wrote hello please advised has received let where needs thanks kind regards engineer got feedback tuesday purchase po hello please advised tickets queue please assist kind regards analyst ext hub pm purchase po dear purchased cts cts cts please log each location installation please take consideration mandatory receipts section order receive item ordered how video kind regards administrator,Hardware,Purchase,0.9645005938339848
0e154f114749b25eff256c413490160e7dff9195e41d07fa7c2a6fc528352f5e,39575,project code sent thursday july code hi appears code mapped raised using code went line manager approve kind regards administrator,Miscellaneous,Internal Project,0.9606014546593712
23ee4ec0e84964487ca050ecc6cc03aaf0d06d7d5972a557523b1e45a20ddd2f,6252,give access to please give log credentials error invalid,Access,HR Support,0.9572200957386732
e95e8993c122be88474dbeede3f40582265ccefdd990d59b487f6250ea455336,42902,cannot find members oracle sent thursday member hi could you please help with why able find following add members regards manager,HR Support,Miscellaneous,0.9493540671650637
b0ab20a10dcf36ce36210428aa5d994b16d48c98d9b6c432aeaa193ca4dfe800,45532,check issues sent thursday december conversation with dear please raise call check issues assign queue thank you lot best regards technical consultant en please consider environment you really need print sent thursday december conversation with sa la tester care si sa se pot tot ca ii failed sa la ticket,Miscellaneous,Hardware,0.948681046112826
442d6d73b2e2eb45087c1422d68c0346df9617b27689b4e6ba87f8ef0e6c7be8,36405,error when trying to access error when trying access hi getting following error when trying access share changed password yesterday cannot get access today regards infrastructure programme manager upcoming leave th st december,Hardware,HR Support,0.9467449187135092
f98bf81761f3f538889563fd088e851457acf121c56e576f7a37c11017deb2d9,15481,and pas account update thursday pm re urgent update hi please help thank wednesday pm urgent update hello little housekeeping done created against opportunity called opportunity link opportunity id please transfer known pipeline currently against client titled opportunity against opportunity unclear please feel free reach out understanding must swamped requests please treat matter urgency,HR Support,Internal Project,0.9432488521644216
1b98f82338443e05a4a66e2a7c9eafbe18bacc77b3dbaf99cc0a5d4c0da426ce,11494,edge one com log prompt tuesday july edge la browser si browser si si pot cancel pot tab va senior analyst,Purchase,Hardware,0.9423353002396456
8e1ac7fdd846734fecd5af923e8189a735219975711817df1cd42d71ec845a01,30059,confluence access for weaver pm starter form contractor dear please find attached joined contractor thank,Access,HR Support,0.9419033183186942
ecab80b716f9de6f65c559119957903739a23f0fd6bd5a8a531400b21e54c92d,44202,cannot submit via mobile oracle hi laptop working tried logging via browser chrome experience very unsatisfactory we have app for other hand works very well compliments,HR Support,Hardware,0.9414048995663452
309b10a673fcf3fbdaec67b192caf2d3d3012f03692e68124b949ded54c4b650,35201,special leave has been assigned to am oracle hr support incident special leave assigned hi could you please raise ticket for request closing ticket resolved best regards applications analyst en sent tuesday december re incident special leave assigned thank you sent tuesday december re incident special leave assigned hi your request approved by should be queue although request was waiting for approval did reach was able open submit absence generated notification after being submitted by could you investigate why thank you lead sent tuesday december re incident special leave assigned hi your absence request goes your representative only after approves goes your line manager can you please confirm you received special leave request december best regards applications analyst en sent tuesday december incident special leave assigned please be advised record number assigned please review details take appropriate action description special leave hello line manager cannot special leave request for she cannot approve can you please check why thank you manager summary special leave number priority moderate assignment location access incident please click following link attachments image image kind regards ref msg,HR Support,Miscellaneous,0.9391997632585586
7669d6917c78e8ab752c8465d8ad8e861bc2451a225da307d8102cf9a45b9662,10364,help to update of wednesday pm re mailing lists updates hi owner mentioned earlier figure out how even tried looking options mentioned site add members mentioned show among options available show how thank tuesday pm re mailing lists updates sorry carefully noticed mentioned show bad tuesday pm re mailing lists updates hi thank find mailing other way supposed thanks tuesday pm mailing lists updates hi kindly informed requests completed updated has created owner mentioned meaning add also accessed requested please gal book after creation please let specialist ext hub pm re create mailing hi thanks clarifications option because client instead each person individually allow members mails owner thank create mailing hi kindly advised requests logged more detail order make completely understand query second part create mailing two types groups shared mailbox which added additional mailbox under personal mailbox come separate mailbox users added client these come personal mailbox users owners also note lists accessed inside by default please also let allow members mails please let which two also please mention owner matter looking forward hearing best regards specialist ext hub friday pm please make changes ad mailing lists hi please make changes ad groups mailing lists add members add members create mailing thank inca senior tester,Storage,Miscellaneous,0.9377541225384118
16a74157848981f12b3fe0b8689460f5f0c4c1dc914451d280a8f0d2a65e37e9,22139,please assist with oracle time cards thursday re please action reports va leave ca la test lead thursday please action reports va pre natal recent card ca care se cum merci test lead wednesday pm please action reports dear part established processes each required submit his weekly basis each friday past must submitted receiving because reports haven followed process please help cascade accordingly gets possible breakdown reports please note refers has left maternity other absence leave please update person record otherwise please person directly submit country date total days registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has liability,Hardware,HR Support,0.936787653948428
e5fcc21da0b16020dd77f92303748771bd8120985921becf0ae442df06c10cf0,24564,change working hours for tuesday december pm rejected hi please help she submit timecard working thank tuesday december re rejected ca pot ore pot face submit la tuesday december re rejected ca si va task type maternity leave se leave ore care pot,Hardware,HR Support,0.9363023998826924
ead5583b4500a2caeb871bb781b9d6146c4177d771eafd11fc6f3342a8f56558,26951,direct reports missing time missing time oracle thursday november re please action reports la ne administration officer thursday november please action reports care shadowing la la cum pot november please action reports dear part established processes each required submit his weekly basis each friday past must submitted receiving because reports haven followed process please help cascade accordingly gets possible breakdown reports country date total days,Hardware,HR Support,0.9349504004149026
66965bc68e0f6dffbe458d93c00c3c34a681f8ca3b179d397f997e7b6a304f76,11922,lost card swap request tuesday july pm re lost card hi lost card phone thank tuesday july pm lost card hello kindly advise lost galaxy mobile phone strictly card device lost registered please wipe attached guide also permanent replacement meantime ask provide device looking forward hearing thank kind regards analyst ext hub tuesday july pm lost card dear lost card please let order process card change number professional number well grateful communications,Hardware,Access,0.9343739568035256
