class,rank,feature,coefficient,validation_documents_with_feature,predicted_as_class_with_feature,correct_predictions_with_feature,false_positives_with_feature,precision_when_feature_and_prediction
HR Support,6,access,6.337890508195374,1879,617,518,99,0.839546191247974
Miscellaneous,3,add,7.686263623261966,890,390,300,90,0.7692307692307693
HR Support,5,oracle,6.6027167275419325,769,415,350,65,0.8433734939759037
Miscellaneous,1,change,9.778764639867108,783,391,330,61,0.8439897698209718
HR Support,3,error,7.744255302059991,897,369,328,41,0.8888888888888888
Miscellaneous,4,approve,7.493796394147141,270,160,128,32,0.8
Access,4,user,10.350156346329118,520,281,250,31,0.8896797153024911
Miscellaneous,8,name,5.329076411869615,630,172,143,29,0.8313953488372093
Access,6,account,9.146297246568116,323,223,198,25,0.8878923766816144
HR Support,2,time,7.776508239089536,294,239,214,25,0.895397489539749
Miscellaneous,5,ticket,6.9292898286208064,364,123,99,24,0.8048780487804879
Miscellaneous,11,owner,4.789462332815693,255,131,107,24,0.816793893129771
Internal Project,1,code,13.305293769174016,534,259,236,23,0.9111969111969112
Internal Project,2,project,9.356926353261784,469,234,211,23,0.9017094017094017
Administrative rights,4,install,5.557563594941922,211,63,40,23,0.6349206349206349
Hardware,4,phone,4.3022690811616044,415,208,185,23,0.8894230769230769
HR Support,4,leave,7.455442544659608,504,347,325,22,0.9365994236311239
HR Support,9,submit,5.134421879633174,336,272,250,22,0.9191176470588235
Administrative rights,3,issues,7.007447786771204,618,66,45,21,0.6818181818181818
Access,3,password,10.567351281412206,321,230,211,19,0.9173913043478261
Hardware,2,laptop,6.995865167931084,381,331,312,19,0.9425981873111783
Hardware,5,meeting,4.222039328293955,224,184,165,19,0.8967391304347826
Miscellaneous,14,list,3.7620911512179225,222,105,86,19,0.819047619047619
Hardware,10,call,3.2710814766573817,248,162,143,19,0.8827160493827161
Miscellaneous,2,approval,8.872997512182657,265,173,156,17,0.9017341040462428
Access,13,users,5.557321534272245,357,136,119,17,0.875
Hardware,15,connect,3.1376447641962395,239,192,175,17,0.9114583333333334
Purchase,4,administrator,6.599106860944036,687,393,378,15,0.9618320610687023
Access,11,create,5.854443344438612,689,221,206,15,0.9321266968325792
Hardware,12,mobile,3.192278313133301,324,145,130,15,0.896551724137931
Purchase,14,phone,2.7634554058117726,415,98,83,15,0.8469387755102041
Purchase,6,log,4.821622560942971,1128,346,332,14,0.9595375722543352
Miscellaneous,12,approved,4.754106332647681,252,89,75,14,0.8426966292134831
Access,9,accounts,6.6655089271638746,337,108,95,13,0.8796296296296297
Miscellaneous,7,tickets,6.380980454776549,255,96,83,13,0.8645833333333334
Internal Project,6,pas,5.4964582650508325,265,139,127,12,0.9136690647482014
Purchase,8,order,3.776481094949855,884,266,254,12,0.9548872180451128
Administrative rights,9,update,3.755355202754648,577,71,59,12,0.8309859154929577
Purchase,1,purchase,8.991334477837228,420,334,323,11,0.9670658682634731
Miscellaneous,6,groups,6.793670931982528,193,78,67,11,0.8589743589743589
Administrative rights,1,outlook,14.96789248822463,125,92,82,10,0.8913043478260869
Access,2,card,10.741661131668303,397,162,152,10,0.9382716049382716
Purchase,2,po,7.915173745752344,396,345,335,10,0.9710144927536232
Administrative rights,2,upgrade,11.6529554224055,195,146,137,9,0.9383561643835616
Access,5,license,9.78132672909416,152,133,124,9,0.9323308270676691
Internal Project,3,codes,8.864684499635613,112,73,64,9,0.8767123287671232
Administrative rights,6,windows,4.444062853029509,159,102,93,9,0.9117647058823529
Hardware,6,connection,4.013371439887264,148,138,129,9,0.9347826086956522
Internal Project,14,oracle,2.4354273793377987,769,94,85,9,0.9042553191489362
