actual_class,predicted_class,count,mean_confidence,max_confidence
HR Support,Hardware,192,0.552782677087237,0.9574638860326448
Miscellaneous,Hardware,131,0.5277057516403991,0.9734274523230864
Access,Hardware,109,0.5514443479329199,0.9791604911980036
Hardware,HR Support,107,0.581777404996895,0.9996696696212836
Administrative rights,Hardware,88,0.5720803156441463,0.9316205279180048
Hardware,Miscellaneous,82,0.5220882306524283,0.88861087570127
HR Support,Miscellaneous,72,0.5890660356366079,0.978267198531983
Miscellaneous,HR Support,62,0.5623859112425694,0.9196290940388584
Storage,Hardware,59,0.5195202788953529,0.9357859762299356
Access,HR Support,52,0.5868355599078768,0.9609385253556004
Hardware,Access,44,0.6029572073250343,0.9908138507377806
Access,Miscellaneous,44,0.5700889784690112,0.9712301876047844
Internal Project,HR Support,43,0.4997415710750564,0.9040278096660106
Purchase,Hardware,40,0.5901139016744477,0.9916209580036262
HR Support,Access,30,0.5584601393253227,0.9193710146892936
Internal Project,Hardware,30,0.43234552694286477,0.771029206568137
Storage,HR Support,23,0.462388616670423,0.9262516990426404
Internal Project,Miscellaneous,21,0.5174869004268026,0.9285008192996556
Miscellaneous,Access,15,0.6100749570183347,0.9143638755038984
Storage,Miscellaneous,14,0.6246713051721065,0.956213466196968
Purchase,Miscellaneous,13,0.5353052407737164,0.9159299885270838
Hardware,Administrative rights,13,0.5186424589595423,0.6989023813162031
Purchase,HR Support,13,0.4995250376294212,0.6948161392446286
Hardware,Purchase,10,0.6286343671938547,0.913890030383876
HR Support,Storage,8,0.5872363147774592,0.9455411978091104
Miscellaneous,Internal Project,8,0.5261734922942543,0.9138859020895828
Administrative rights,Miscellaneous,8,0.4260822678942966,0.6440678686274505
Administrative rights,HR Support,8,0.4204484397297453,0.7483335803709088
Hardware,Storage,7,0.5619883806356684,0.793504968140991
Administrative rights,Access,7,0.5413473501119516,0.7959444170415494
Hardware,Internal Project,5,0.5948895438147911,0.9159597898436516
Storage,Administrative rights,4,0.5023990775795042,0.5911738903026172
Internal Project,Access,4,0.3960967554750179,0.5267962377423691
Miscellaneous,Storage,4,0.3594831621192759,0.4259351882798163
Storage,Access,3,0.6524774411456989,0.6674097247363638
HR Support,Internal Project,3,0.585372365455227,0.8823046461439187
Access,Administrative rights,3,0.5544901744725373,0.5587171299459263
Administrative rights,Storage,2,0.7507933750467685,0.8202266549381569
Access,Internal Project,2,0.6770117789567807,0.926883124704028
Purchase,Administrative rights,2,0.6461201072753817,0.9871802091991227
Purchase,Access,2,0.49391210533693386,0.5385727852084178
HR Support,Administrative rights,2,0.4519423037481206,0.5215879474523698
Access,Storage,1,0.6467234084676973,0.6467234084676973
HR Support,Purchase,1,0.5077803682760347,0.5077803682760347
Administrative rights,Purchase,1,0.5052903979960406,0.5052903979960406
Miscellaneous,Administrative rights,1,0.3925626697516488,0.3925626697516488
Miscellaneous,Purchase,1,0.3468376776773682,0.3468376776773682
