class,rank,feature,coefficient,validation_documents_with_feature,predicted_as_class_with_feature,correct_predictions_with_feature,false_positives_with_feature,precision_when_feature_and_prediction
Miscellaneous,3,add,7.53168355886219,890,398,305,93,0.7663316582914573
HR Support,5,access,6.337653214453073,1879,593,505,88,0.851602023608769
Miscellaneous,1,change,9.578163815382048,783,398,334,64,0.8391959798994975
Administrative rights,3,issues,7.688858220622032,618,108,58,50,0.5370370370370371
HR Support,6,oracle,6.061288965390897,769,393,343,50,0.8727735368956743
Administrative rights,4,install,5.986211806954335,211,80,40,40,0.5
HR Support,2,error,7.424591385386719,897,365,327,38,0.8958904109589041
Internal Project,1,code,14.130031653816085,534,282,246,36,0.8723404255319149
Access,4,user,10.131204354686682,520,286,251,35,0.8776223776223776
Internal Project,2,project,9.747477032779132,469,254,219,35,0.8622047244094488
Miscellaneous,4,approve,7.161784571480586,270,161,127,34,0.7888198757763976
Miscellaneous,8,name,5.227268524601284,630,174,141,33,0.8103448275862069
Miscellaneous,11,owner,4.639564372798869,255,133,105,28,0.7894736842105263
Hardware,13,si,2.9430023946224724,324,171,143,28,0.8362573099415205
Miscellaneous,5,ticket,6.661803693876756,364,126,99,27,0.7857142857142857
Access,6,account,8.906036318898334,323,223,199,24,0.8923766816143498
HR Support,3,time,7.192745330467936,294,238,214,24,0.8991596638655462
Administrative rights,9,update,4.101068610775745,577,89,66,23,0.7415730337078652
Miscellaneous,14,list,3.648750217548181,222,110,87,23,0.7909090909090909
HR Support,4,leave,7.131357414021564,504,342,321,21,0.9385964912280702
HR Support,9,submit,4.720589715175318,336,269,248,21,0.9219330855018587
Access,3,password,10.239954229839343,321,234,214,20,0.9145299145299145
Purchase,4,administrator,6.780785300216749,687,402,382,20,0.9502487562189055
Access,12,users,5.407446476832455,357,141,121,20,0.8581560283687943
Administrative rights,6,windows,4.71970515565873,159,117,97,20,0.8290598290598291
Internal Project,6,pas,5.71669428463845,265,148,129,19,0.8716216216216216
Purchase,6,log,5.148899258959563,1128,356,337,19,0.9466292134831461
Purchase,15,phone,2.776085932485975,415,103,85,18,0.8252427184466019
Miscellaneous,2,approval,8.505098227866128,265,173,156,17,0.9017341040462428
Hardware,10,call,3.0428244085867706,248,155,138,17,0.8903225806451613
Hardware,2,laptop,6.640562435066414,381,318,302,16,0.949685534591195
Purchase,8,order,4.262631019330856,884,273,257,16,0.9413919413919414
Administrative rights,1,outlook,15.735182788053356,125,101,86,15,0.8514851485148515
Internal Project,3,codes,9.245572666518134,112,79,64,15,0.810126582278481
Access,9,accounts,6.420215508811603,337,110,95,15,0.8636363636363636
Miscellaneous,7,tickets,6.287703869656266,255,100,85,15,0.85
Access,10,create,5.684308070458076,689,221,206,15,0.9321266968325792
HR Support,11,floor,3.6396644620422,479,171,156,15,0.9122807017543859
Purchase,2,po,8.18079585852242,396,351,337,14,0.9601139601139601
Miscellaneous,6,groups,6.550301950755412,193,83,69,14,0.8313253012048193
Hardware,4,phone,3.992013870097188,415,188,174,14,0.925531914893617
Purchase,1,purchase,9.45378353868998,420,336,323,13,0.9613095238095238
Miscellaneous,12,approved,4.612873335780863,252,90,77,13,0.8555555555555555
Hardware,12,connect,2.9776602275776667,239,183,170,13,0.9289617486338798
Administrative rights,2,upgrade,12.59398657859059,195,154,142,12,0.922077922077922
Administrative rights,5,software,5.49369171092929,273,69,57,12,0.8260869565217391
Storage,8,permissions,5.096162076155313,184,48,36,12,0.75
Hardware,5,meeting,3.931359790794584,224,171,159,12,0.9298245614035088
Administrative rights,11,problems,3.24118750754372,170,32,20,12,0.625
Administrative rights,15,server,2.9239392810922524,189,17,5,12,0.29411764705882354
Hardware,15,mobile,2.770479146968112,324,135,123,12,0.9111111111111111
Storage,2,mailbox,11.753262900234532,276,133,122,11,0.9172932330827067
Access,2,card,10.256648628920678,397,163,152,11,0.9325153374233128
Access,5,license,9.537048684949257,152,137,126,11,0.9197080291970803
Storage,10,file,4.58562954253616,291,49,38,11,0.7755102040816326
Administrative rights,12,app,3.122002808661092,129,27,16,11,0.5925925925925926
Storage,1,folder,12.913815747943962,208,156,146,10,0.9358974358974359
Internal Project,5,setup,7.515338102012833,206,93,83,10,0.8924731182795699
Administrative rights,10,version,4.058931554361831,164,52,42,10,0.8076923076923077
Storage,7,files,5.165678608836712,190,59,50,9,0.847457627118644
HR Support,7,annual,5.099080362427598,229,157,148,9,0.9426751592356688
Purchase,3,installation,7.119583292563574,249,156,148,8,0.9487179487179487
Purchase,5,device,6.298208158721732,187,85,77,8,0.9058823529411765
Miscellaneous,9,contract,5.006676272985141,100,48,40,8,0.8333333333333334
Access,14,reset,4.65112501737136,170,150,142,8,0.9466666666666667
Hardware,6,connection,3.8354985104680535,148,134,126,8,0.9402985074626866
Miscellaneous,15,approvals,3.5668369150803887,58,45,37,8,0.8222222222222222
Administrative rights,14,again,2.9749737560469898,318,24,16,8,0.6666666666666666
Access,1,confluence,12.812540765311754,316,290,283,7,0.9758620689655172
