actual_class,predicted_class,count,mean_confidence,max_confidence
HR Support,Hardware,175,0.5095191741791258,0.9414048995663452
Hardware,HR Support,113,0.5567688171532397,0.999625998830094
Hardware,Miscellaneous,105,0.5107826689976706,0.907906283644246
Miscellaneous,Hardware,103,0.4937065007849719,0.948681046112826
HR Support,Miscellaneous,94,0.5525594111090768,0.9783887955752804
Access,Hardware,86,0.5289955512711791,0.968212872047858
Hardware,Access,58,0.5660113400167398,0.9890332881335044
Miscellaneous,HR Support,52,0.5472491341857522,0.914854651963228
Administrative rights,Hardware,51,0.5496226426469082,0.8781451036607618
Access,HR Support,47,0.5683137361568168,0.9572200957386732
Access,Miscellaneous,47,0.5538816532121685,0.9713280916348694
Hardware,Administrative rights,45,0.5310397025162233,0.8687836514496811
Storage,Hardware,36,0.4961183591487498,0.8815641643038226
HR Support,Access,34,0.5627747986483015,0.92197974378845
Purchase,Hardware,31,0.5364467489527537,0.9842384617604498
Internal Project,HR Support,24,0.47087804195128613,0.8729878054620633
Hardware,Purchase,20,0.631265573172732,0.9697391012290364
Miscellaneous,Access,16,0.6044693979145506,0.9136767939184022
Internal Project,Hardware,16,0.3871530045871719,0.6534354609957658
Miscellaneous,Internal Project,15,0.5590265085459166,0.9606014546593712
HR Support,Internal Project,15,0.49863898180282884,0.9432488521644216
HR Support,Storage,14,0.6000849277725185,0.9732567139128468
Internal Project,Miscellaneous,14,0.5356697915719562,0.9279505377451324
Hardware,Internal Project,14,0.5175999382689261,0.9679023284750872
Purchase,HR Support,13,0.42505889240886013,0.6212836463571841
Purchase,Miscellaneous,12,0.5360699848085376,0.9054897708058874
Storage,Miscellaneous,11,0.6585179878846558,0.9377541225384118
Hardware,Storage,11,0.5666459245892664,0.8687354696285003
Storage,HR Support,10,0.5169505249721109,0.8744050904467044
HR Support,Administrative rights,10,0.42927153917469363,0.716738299377788
Administrative rights,Miscellaneous,9,0.3549648839765633,0.4359249844535525
Miscellaneous,Storage,7,0.4498197453778849,0.5810943213876965
Access,Administrative rights,6,0.5584533907829884,0.7192690290517175
Administrative rights,HR Support,6,0.39618753469759627,0.6446013214952999
Storage,Administrative rights,5,0.5317943361731594,0.6679761393539766
Storage,Access,5,0.44581339502688894,0.6114488858598808
Purchase,Administrative rights,4,0.6043650467299896,0.9950161301923968
Administrative rights,Access,4,0.5267157703075733,0.6453969927963539
Access,Internal Project,3,0.7079036005361551,0.9664059141236434
Administrative rights,Storage,3,0.6317411987085747,0.8177060304357662
Miscellaneous,Administrative rights,3,0.4428070928371369,0.5215658178118568
Access,Purchase,3,0.2862004561144324,0.3389510269480609
Access,Storage,2,0.5515986227477865,0.7433421612471351
HR Support,Purchase,2,0.49311892365022547,0.6669792490215579
Miscellaneous,Purchase,2,0.48942916276827053,0.5066151276247802
Administrative rights,Purchase,1,0.6212110186983862,0.6212110186983862
Storage,Purchase,1,0.6039006211915645,0.6039006211915645
Purchase,Access,1,0.4958685251902814,0.4958685251902814
Internal Project,Access,1,0.3843954239844042,0.3843954239844042
Purchase,Internal Project,1,0.3361105622591909,0.3361105622591909
