class,rank,feature,coefficient
Access,1,confluence,13.36243372894982
Access,2,card,10.741661131668303
Access,3,password,10.567351281412206
Access,4,user,10.350156346329118
Access,5,license,9.781326729094161
Access,6,account,9.146297246568116
Access,7,git,8.147512904015304
Access,8,repository,7.61040420295608
Access,9,accounts,6.6655089271638746
Access,10,cards,5.858091700709861
Access,11,create,5.854443344438612
Access,12,locked,5.646701232023294
Access,13,users,5.557321534272245
Access,14,reset,4.782260473311461
Access,15,licenses,4.724727927674315
Access,16,badge,4.096153985815004
Access,17,licence,3.794973860005197
Access,18,lost,3.697912812994367
Access,19,expire,3.645368665628882
Access,20,repositories,3.5525789589527856
Access,21,visitor,3.227458989876088
Access,22,passwords,3.0789054831122087
Access,23,visual,3.0426599884442997
Access,24,studio,2.9518721857792634
Access,25,expired,2.947196155129123
Access,26,ad,2.8997167606249072
Access,27,synchronization,2.8217159878141067
Access,28,sync,2.7805375735668965
Access,29,subscription,2.771430705841791
Access,30,blocked,2.606542708910479
Administrative rights,1,outlook,14.96789248822463
Administrative rights,2,upgrade,11.6529554224055
Administrative rights,3,issues,7.007447786771204
Administrative rights,4,install,5.557563594941922
Administrative rights,5,software,5.042840005074619
Administrative rights,6,windows,4.444062853029509
Administrative rights,7,exchange,4.14666038019385
Administrative rights,8,assets,3.808425247785834
Administrative rights,9,update,3.7553552027546484
Administrative rights,10,version,3.7485565859876018
Administrative rights,11,problems,3.0154845675435817
Administrative rights,12,calendar,2.863446101706289
Administrative rights,13,server,2.837679301066308
Administrative rights,14,again,2.786992253420195
Administrative rights,15,app,2.734229299173593
Administrative rights,16,credentials,2.6677113552376532
Administrative rights,17,send,2.640374820419837
Administrative rights,18,not,2.59512924187162
Administrative rights,19,up,2.4894526997309008
Administrative rights,20,profile,2.3845651988493493
Administrative rights,21,os,2.282067341442373
Administrative rights,22,with,2.24633396205965
Administrative rights,23,experiencing,2.2257150204447016
Administrative rights,24,reinstall,2.1915789864276887
Administrative rights,25,connect,2.1864331271048525
Administrative rights,26,responding,2.1519956680302923
Administrative rights,27,keeps,2.1459985075984043
Administrative rights,28,any,2.1427779776922087
Administrative rights,29,upgrading,2.1289149826207283
Administrative rights,30,problem,2.101156893616297
HR Support,1,starter,8.356975022219732
HR Support,2,time,7.776508239089536
HR Support,3,error,7.744255302059991
HR Support,4,leave,7.455442544659608
HR Support,5,oracle,6.6027167275419325
HR Support,6,access,6.337890508195374
HR Support,7,annual,5.323042604454162
HR Support,8,leaver,5.216998903546388
HR Support,9,submit,5.134421879633174
HR Support,10,timecard,5.063004713639739
HR Support,11,bucharest,3.9015350656955197
HR Support,12,area,3.898709729071236
HR Support,13,hours,3.891651442125696
HR Support,14,transfer,3.8601081893884275
HR Support,15,week,3.820835256435925
HR Support,16,floor,3.8070853290864846
HR Support,17,form,3.7101814876679944
HR Support,18,to,3.4058882132289736
HR Support,19,interns,3.269495258940653
HR Support,20,secure,3.0997199016033563
HR Support,21,timecards,3.0996787791903424
HR Support,22,internship,3.083558286704375
HR Support,23,leavers,2.8810343023889775
HR Support,24,belgrade,2.850609361740304
HR Support,25,absence,2.8017770176539445
HR Support,26,days,2.7639386192214332
HR Support,27,intern,2.7519249748376864
HR Support,28,officer,2.692756928767174
HR Support,29,maternity,2.626114640691464
HR Support,30,date,2.589217232638782
Hardware,1,monitor,7.762379047925739
Hardware,2,laptop,6.995865167931084
Hardware,3,room,4.598338676006378
Hardware,4,phone,4.3022690811616044
Hardware,5,meeting,4.222039328293955
Hardware,6,connection,4.013371439887264
Hardware,7,ram,3.901379113432098
Hardware,8,cable,3.884069901370444
Hardware,9,backpack,3.365273464367678
Hardware,10,call,3.2710814766573817
Hardware,11,calls,3.2346950522422677
Hardware,12,mobile,3.1922783131333006
Hardware,13,certificate,3.171853936228235
Hardware,14,documents,3.1440661899841253
Hardware,15,connect,3.1376447641962395
Hardware,16,si,3.114763517367936
Hardware,17,keyboard,2.854601662008487
Hardware,18,rooms,2.8266053420468937
Hardware,19,cannot,2.7302777794399997
Hardware,20,charger,2.6954210622203445
Hardware,21,you,2.546727619474291
Hardware,22,la,2.5277629513971864
Hardware,23,can,2.504557086136469
Hardware,24,unable,2.4871686804594337
Hardware,25,care,2.4870433736042963
Hardware,26,machine,2.373817734659354
Hardware,27,network,2.300328045800371
